P1 \ P2,AzaZ_ow,Dagann_e,EnsgMaster,Forsa,GustafGabel,HooZher,Kayjuro_,LazyHelios,LilAggy,Mokyx,Niorra,NuclearPastaTom,Owarida,Pluryl,Rakushain_,RannisConsortBryan,RomainJacques_,SeriousChallenges,Teddy59C,Typin__,Unlucked_Destro,az_gar25,consta_sama,ironyeu,jeffqed,mr_dr_raven,pirl_fresh,poleuky,psiphicode,rambler_ing,theMixed_,wander652
Niorra,0.5079,0.7431,0.6804,0.5119,0.5827,0.4195,0.5323,0.4270,0.6640,0.6093,—,0.4670,0.7584,0.4387,0.5090,0.7711,0.5718,0.5573,0.7177,0.6805,0.7591,0.7319,0.6178,0.4749,0.5384,0.7179,0.6669,0.5722,0.5787,0.6421,0.7318,0.6993
NuclearPastaTom,0.5378,0.7143,0.6544,0.5620,0.6366,0.4124,0.5373,0.4589,0.6124,0.6470,0.5330,—,0.7111,0.5165,0.4830,0.7202,0.5232,0.6789,0.6939,0.6900,0.7266,0.6052,0.7626,0.4157,0.4657,0.6192,0.6279,0.5475,0.6017,0.5843,0.6551,0.6232
Owarida,0.1990,0.5595,0.3467,0.3193,0.3504,0.1340,0.2177,0.2087,0.4112,0.3769,0.2416,0.2889,—,0.2667,0.2859,0.4000,0.2854,0.2725,0.4017,0.3122,0.4815,0.3357,0.5378,0.2018,0.3218,0.4539,0.4024,0.2529,0.2985,0.3118,0.4469,0.3713
Pluryl,0.5786,0.6708,0.6058,0.5917,0.5518,0.3491,0.5399,0.5323,0.7564,0.5468,0.5613,0.4835,0.7333,—,0.5040,0.6812,0.3267,0.5897,0.6180,0.5557,0.7362,0.5351,0.6205,0.3787,0.4503,0.7090,0.7105,0.6426,0.6352,0.5994,0.5594,0.6588
Rakushain_,0.3781,0.7005,0.6289,0.4168,0.4499,0.4278,0.5752,0.3284,0.4584,0.5623,0.4910,0.5170,0.7141,0.4960,—,0.7484,0.5258,0.6242,0.6131,0.7259,0.6819,0.6614,0.4706,0.4855,0.5594,0.6058,0.5933,0.5678,0.5151,0.5978,0.7436,0.5507
RannisConsortBryan,0.1785,0.4017,0.3585,0.4252,0.3618,0.1825,0.2594,0.2641,0.2598,0.4149,0.2289,0.2798,0.6000,0.3188,0.2516,—,0.3314,0.3775,0.5519,0.3994,0.4923,0.4616,0.5735,0.2484,0.3862,0.5094,0.4607,0.3148,0.2625,0.3008,0.5128,0.4318
RomainJacques_,0.4743,0.7236,0.6096,0.6285,0.5509,0.3682,0.5073,0.4638,0.5733,0.6446,0.4282,0.4768,0.7146,0.6733,0.4742,0.6686,—,0.5336,0.6060,0.6583,0.7328,0.6942,0.6251,0.3797,0.5452,0.7260,0.6178,0.5443,0.6268,0.5792,0.6910,0.5906
SeriousChallenges,0.5094,0.7526,0.4875,0.5768,0.5233,0.3181,0.5222,0.4041,0.5502,0.4358,0.4427,0.3211,0.7275,0.4103,0.3758,0.6225,0.4664,—,0.5377,0.5799,0.7056,0.5770,0.5954,0.3784,0.5009,0.6594,0.6422,0.5343,0.4702,0.6008,0.6116,0.6254
Teddy59C,0.2913,0.5381,0.4140,0.5181,0.3980,0.2177,0.3505,0.3359,0.3297,0.3963,0.2823,0.3061,0.5983,0.3820,0.3869,0.4481,0.3940,0.4623,—,0.5490,0.6314,0.5558,0.5680,0.2823,0.3178,0.5052,0.4976,0.3627,0.3572,0.4356,0.4336,0.4878
Typin__,0.2618,0.6730,0.3398,0.3999,0.3850,0.1696,0.2840,0.2860,0.5541,0.4721,0.3195,0.3100,0.6878,0.4443,0.2741,0.6006,0.3417,0.4201,0.4510,—,0.6281,0.4857,0.5513,0.1915,0.3142,0.5189,0.5037,0.3621,0.3877,0.4991,0.5184,0.4602
Unlucked_Destro,0.2036,0.4572,0.3533,0.3330,0.3669,0.1170,0.2056,0.2077,0.4339,0.3531,0.2409,0.2734,0.5185,0.2638,0.3181,0.5077,0.2672,0.2944,0.3686,0.3719,—,0.4877,0.3315,0.1743,0.2528,0.4650,0.4027,0.3308,0.2842,0.4204,0.4377,0.3943
az_gar25,0.2529,0.5022,0.3730,0.2860,0.4122,0.2220,0.3165,0.2636,0.4486,0.4484,0.2681,0.3948,0.6643,0.4649,0.3386,0.5384,0.3058,0.4230,0.4442,0.5143,0.5123,—,0.3856,0.2902,0.4167,0.4751,0.4989,0.3709,0.3206,0.4829,0.5245,0.4846
consta_sama,0.3762,0.5942,0.3114,0.4595,0.4910,0.2146,0.4141,0.4150,0.5361,0.5242,0.3822,0.2374,0.4622,0.3795,0.5294,0.4265,0.3749,0.4046,0.4320,0.4487,0.6685,0.6144,—,0.2106,0.3530,0.6197,0.5565,0.5002,0.4489,0.5528,0.5910,0.5656
ironyeu,0.6084,0.7972,0.6610,0.6711,0.7357,0.5132,0.5743,0.5230,0.7845,0.6683,0.5251,0.5843,0.7982,0.6213,0.5145,0.7516,0.6203,0.6216,0.7177,0.8085,0.8257,0.7098,0.7894,—,0.5224,0.7801,0.7454,0.5979,0.5663,0.7618,0.7310,0.8044
jeffqed,0.5120,0.7315,0.6011,0.5984,0.5741,0.3630,0.5774,0.4872,0.6131,0.5775,0.4616,0.5343,0.6782,0.5497,0.4406,0.6138,0.4548,0.4991,0.6822,0.6858,0.7472,0.5833,0.6470,0.4776,—,0.6677,0.5838,0.5675,0.5633,0.6005,0.6290,0.6382
mr_dr_raven,0.2950,0.5581,0.3940,0.3336,0.4287,0.1733,0.3092,0.3180,0.4387,0.4215,0.2821,0.3808,0.5461,0.2910,0.3942,0.4906,0.2740,0.3406,0.4948,0.4811,0.5350,0.5249,0.3803,0.2199,0.3323,—,0.4680,0.3716,0.3662,0.5078,0.4249,0.4650
pirl_fresh,0.3518,0.5977,0.5111,0.3630,0.3938,0.2299,0.3748,0.3087,0.4285,0.4888,0.3331,0.3721,0.5976,0.2895,0.4067,0.5393,0.3822,0.3578,0.5024,0.4963,0.5973,0.5011,0.4435,0.2546,0.4162,0.5320,—,0.4234,0.4544,0.4942,0.5597,0.4769
poleuky,0.4941,0.6491,0.5801,0.4081,0.4928,0.3115,0.5286,0.4080,0.5381,0.5712,0.4278,0.4525,0.7471,0.3574,0.4322,0.6852,0.4557,0.4657,0.6373,0.6379,0.6692,0.6291,0.4998,0.4021,0.4325,0.6284,0.5766,—,0.5327,0.5787,0.6660,0.5876
psiphicode,0.4782,0.7251,0.5230,0.4800,0.5302,0.2932,0.5275,0.4046,0.6036,0.5447,0.4213,0.3983,0.7015,0.3648,0.4849,0.7375,0.3732,0.5298,0.6428,0.6123,0.7158,0.6794,0.5511,0.4337,0.4367,0.6338,0.5456,0.4673,—,0.5774,0.6343,0.6351
rambler_ing,0.3259,0.5614,0.4894,0.3675,0.4653,0.2335,0.4216,0.2674,0.4961,0.5497,0.3579,0.4157,0.6882,0.4006,0.4022,0.6992,0.4208,0.3992,0.5644,0.5009,0.5796,0.5171,0.4472,0.2382,0.3995,0.4922,0.5058,0.4213,0.4226,—,0.5508,0.5510
theMixed_,0.2156,0.6066,0.3216,0.4236,0.3548,0.1874,0.2906,0.2702,0.4147,0.4514,0.2682,0.3449,0.5531,0.4406,0.2564,0.4872,0.3090,0.3884,0.5664,0.4816,0.5623,0.4755,0.4090,0.2690,0.3710,0.5751,0.4403,0.3340,0.3657,0.4492,—,0.4153
wander652,0.3903,0.5857,0.4758,0.4302,0.4456,0.2009,0.3658,0.3583,0.5197,0.4787,0.3007,0.3768,0.6287,0.3412,0.4493,0.5682,0.4094,0.3746,0.5122,0.5398,0.6057,0.5154,0.4344,0.1956,0.3618,0.5350,0.5231,0.4124,0.3649,0.4490,0.5847,—
